Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
STA 9750 Lecture 10,2026-11-10,6:05 PM,2026-11-10,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 8: Pre-Assignment Due,2026-11-10,05:30 PM,2026-11-10,06:00 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 2: Mini-Project Peer Feedback Due,2026-11-16,11:29 PM,2026-11-16,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 11,2026-11-17,6:05 PM,2026-11-17,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 9: Pre-Assignment Due,2026-11-17,05:30 PM,2026-11-17,06:00 PM,False,Submitted via Brightspace
STA 9750 Lecture 12,2026-11-24,6:05 PM,2026-11-24,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 10: Pre-Assignment Due,2026-11-24,05:30 PM,2026-11-24,06:00 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 3: Mini-Project Due,2026-11-27,11:29 PM,2026-11-27,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 13,2026-12-01,6:05 PM,2026-12-01,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Course Project: Final Project Presentation Slides Due,2026-12-01,05:30 PM,2026-12-01,06:00 PM,False,In-Class Presentation
STA 9750 Mini-Project 3: Mini-Project Peer Feedback Due,2026-12-07,11:29 PM,2026-12-07,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 14,2026-12-08,6:05 PM,2026-12-08,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 11: Pre-Assignment Due,2026-12-08,05:30 PM,2026-12-08,06:00 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 4: Mini-Project Due,2026-12-11,11:29 PM,2026-12-11,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Course Project: Final Project Summary Report Due [Tentative],2026-12-17,11:29 PM,2026-12-17,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Course Project: Final Project Individual Report Due [Tentative],2026-12-17,11:29 PM,2026-12-17,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Course Project: Final Project Teammate Peer Evaluations Due [Tentative],2026-12-17,11:29 PM,2026-12-17,11:59 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 4: Mini-Project Peer Feedback Due,2026-12-21,11:29 PM,2026-12-21,11:59 PM,False,Submitted via GitHub and Brightspace
