Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
STA 9750 Lecture 8,2026-10-22,6:05 PM,2026-10-22,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Course Project: Mid-Semester Check-In Slides Due,2026-10-22,05:30 PM,2026-10-22,06:00 PM,False,NA
STA 9750 Mini-Project 1: Mini-Project Peer Feedback Due,2026-10-26,11:29 PM,2026-10-26,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 9,2026-10-29,6:05 PM,2026-10-29,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Course Project: Mid-Semester Teammate Peer Evaluations Due,2026-10-29,11:29 PM,2026-10-29,11:59 PM,False,Submitted via Brightspace
STA 9750 Pre-Assignment 7: Pre-Assignment Due,2026-10-29,05:30 PM,2026-10-29,06:00 PM,False,Submitted via Brightspace
STA 9750 Lecture 10,2026-11-05,6:05 PM,2026-11-05,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 8: Pre-Assignment Due,2026-11-05,05:30 PM,2026-11-05,06:00 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 2: Mini-Project Due,2026-11-06,11:29 PM,2026-11-06,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 11,2026-11-12,6:05 PM,2026-11-12,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 9: Pre-Assignment Due,2026-11-12,05:30 PM,2026-11-12,06:00 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 2: Mini-Project Peer Feedback Due,2026-11-16,11:29 PM,2026-11-16,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 12,2026-11-19,6:05 PM,2026-11-19,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 10: Pre-Assignment Due,2026-11-19,05:30 PM,2026-11-19,06:00 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 3: Mini-Project Due,2026-11-27,11:29 PM,2026-11-27,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 13,2026-12-03,6:05 PM,2026-12-03,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Course Project: Final Project Presentation Slides Due,2026-12-03,05:30 PM,2026-12-03,06:00 PM,False,In-Class Presentation
STA 9750 Mini-Project 3: Mini-Project Peer Feedback Due,2026-12-07,11:29 PM,2026-12-07,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Lecture 14,2026-12-10,6:05 PM,2026-12-10,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA 9750 Pre-Assignment 11: Pre-Assignment Due,2026-12-10,05:30 PM,2026-12-10,06:00 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 4: Mini-Project Due,2026-12-11,11:29 PM,2026-12-11,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Course Project: Final Project Summary Report Due [Tentative],2026-12-17,11:29 PM,2026-12-17,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Course Project: Final Project Individual Report Due [Tentative],2026-12-17,11:29 PM,2026-12-17,11:59 PM,False,Submitted via GitHub and Brightspace
STA 9750 Course Project: Final Project Teammate Peer Evaluations Due [Tentative],2026-12-17,11:29 PM,2026-12-17,11:59 PM,False,Submitted via Brightspace
STA 9750 Mini-Project 4: Mini-Project Peer Feedback Due,2026-12-21,11:29 PM,2026-12-21,11:59 PM,False,Submitted via GitHub and Brightspace
